neigh_name,total_liv_score,edmonton_rank,alberta_rank,percent_rank,ammenities_grade,cost_of_living_percent,crime_rate,median_income,in_labor_force,unemployment_rate,median_house_val,home_owner_percent,high_school_percent,bach_degree,test_scores,area_pop,pop_dense,med_age,marri_coup,fam_w_kids,eng_only,french_only
baranow,73,160,479,79,15,85,7791,74861,65,4,251526,60,81,24,73,2940,3384,37,65,44,89.7,0.0
meyokumin,73,163,484,79,15,86,7260,86636,72,5,263275,68,86,17,72,3203,3178,37,68,46,91.8,0.0
avonmore,72,164,487,78,15,90,6272,92110,75,5,351781,82,89,28,58,2313,2553,41,66,37,89.3,0.1
royal gardens,72,169,493,78,15,87,7291,78747,72,5,291799,52,87,36,71,3805,3106,35,66,45,87.8,0.1
satoo,73,171,497,77,15,87,7110,86670,63,6,280037,85,84,17,59,3748,2805,40,69,42,92.1,0.1
laurel,72,172,498,77,15,89,6022,101265,77,6,342769,76,87,36,69,10585,3138,31,83,63,90.1,0.2
chappelle,71,173,499,77,12,94,4230,122426,88,7,457674,79,92,40,61,6806,1181,31,70,48,91.7,0.1
holyrood,71,174,501,77,15,91,6351,83108,74,5,379498,59,88,31,70,3569,2830,39,63,41,85.2,0.0
beverly heights,72,176,505,77,15,87,7729,65772,63,6,295390,67,81,16,57,3764,2803,43,60,35,92.8,0.3
terrace heights,72,177,509,77,15,90,7174,66836,75,5,353179,46,85,22,63,2467,3308,41,62,35,90.2,0.7
callingwood north,73,179,514,76,15,83,8336,66694,78,6,223553,47,89,28,63,2616,2998,35,54,34,92.9,0.1
larkspur,71,180,516,76,15,89,5905,109983,71,3,320500,85,86,27,66,5979,3605,36,79,54,90.3,0.1
west meadowlark park,72,183,521,76,15,85,7875,72193,76,4,252974,59,86,23,66,3906,3457,42,62,41,93.3,0.0
belmead,71,185,524,76,15,88,6706,83509,70,6,338065,65,84,26,61,4999,3860,37,67,45,91.1,0.2
downtown edmonton,72,187,529,75,15,87,8343,64164,81,4,233113,27,96,53,79,14562,6146,33,51,12,88.2,0.1
bisset,71,190,535,75,15,87,6991,87692,71,8,289164,63,82,21,69,4344,4598,35,74,52,90.5,0.2
strathearn,70,191,536,75,15,93,5940,80608,78,5,435637,43,91,41,61,2885,3821,40,58,36,81.4,1.1
rideau park,71,192,537,75,15,90,7217,71570,60,4,329245,46,87,33,70,2355,2767,41,72,37,90.9,0.0
tipaskan,71,195,545,74,15,86,7627,74764,65,8,270290,50,87,26,66,3379,4081,35,67,48,91.4,0.3
elmwood,71,198,548,74,15,87,6981,85475,74,4,299328,64,86,22,62,2933,2858,37,62,39,92.9,0.2
blue quill,71,199,549,73,15,89,7041,77647,73,7,324264,38,89,41,66,5273,5114,34,69,48,90.2,0.1
malmo plains,70,200,551,73,15,90,7125,70836,71,4,342558,50,94,57,70,3571,3908,33,82,54,89.7,0.0
oliver,71,202,556,73,15,87,8053,67704,78,4,251226,32,93,45,66,20960,12236,37,54,13,88.3,0.1
virginia park,71,204,558,73,15,89,7551,64215,65,8,321573,49,86,32,65,728,1330,45,63,34,91.9,0.0
forest heights,70,205,560,73,15,92,6202,80529,73,5,406581,57,86,31,63,4424,2748,40,62,33,87.7,0.1
menisa,71,207,562,73,15,87,6663,96122,65,6,291722,84,83,16,63,2704,3120,41,71,43,94.1,0.2
richfield,71,211,570,72,15,87,7265,76719,64,5,302955,49,81,25,59,3843,3953,33,63,45,90.6,0.3
pollard meadows,71,212,573,72,15,85,7790,74228,70,7,254188,64,83,22,67,4993,4640,34,68,48,91.6,0.2
sifton park,73,213,574,72,15,85,8035,69224,66,8,247121,39,80,17,61,2283,4731,35,59,41,91.0,0.5
lauderdale,71,214,578,72,15,85,8402,59797,70,8,244170,44,80,15,56,3134,2381,37,60,37,92.5,0.0
crawford plains,71,215,579,72,15,87,6603,99394,72,5,285189,80,85,16,64,4759,4118,36,70,51,93.0,0.1
meyonohk,71,217,581,71,15,84,7722,81823,68,6,231113,81,82,17,66,3170,3600,37,67,44,90.9,0.2
inglewood,72,221,588,71,15,88,8256,50754,77,8,297160,28,84,21,65,7561,4650,37,52,35,90.2,0.6
mcconachie,70,222,589,71,15,89,6043,102435,87,6,335606,79,88,27,65,6769,2283,31,70,51,90.8,0.2
dunluce,70,224,596,71,15,86,7395,79479,67,6,277197,61,82,12,65,6903,3086,36,60,42,92.2,0.2
university of alberta farm,66,225,597,70,15,98,5059,77140,83,3,548407,20,89,39,37,165,38,41,71,36,92.0,0.0
athlone,70,226,598,70,15,86,7160,88111,73,6,268506,72,80,11,62,3710,3012,38,59,43,92.0,0.1
